sample_ID	sample_type	B_cell	CD4_Tcell	CD8_Tcell	Neutrophil	Macrophage	Dendritic
TCGA-3Z-A93Z	01A	0.159187824379708	0.0856133622280631	0.174548212370113	0.0625272163323994	0	0.454085170275301
TCGA-6D-AA2E	01A	0	0.0939265052739128	0	0.00734675086948345	0	0.477634503991012
TCGA-A3-3306	01A	0.082356907086579	0.0698992772673912	0.103430193998075	0.11878846753117	0.058596937495409	0.267668103814959
TCGA-A3-3307	01A	0.0981475835592079	0.111430080155519	0.341838225136406	0.173047711922406	0.236089385147626	0.52438319333998
TCGA-A3-3308	01A	0.10070249085172	0.232313609625078	0.0459143077356032	0.113038120407361	0.159250371119901	0.522880484911751
TCGA-A3-3311	01A	0.182124544700181	0.126987312020723	0.208151783651543	0.133753952546003	0.204679106874716	0.604095027684639
TCGA-A3-3313	01A	0	0.0176689446356694	0	0.0151342826171862	0.00983547206364623	0.247751359577715
TCGA-A3-3316	01A	0.0212172923892185	0.151565782360744	0.0182420316577637	0.127169886889223	0.272796112837849	0.329119947922773
TCGA-A3-3317	01A	0.144660864835875	0.194168077050244	0.154809120741288	0.141485559220265	0.130648630404172	0.617453014532602
TCGA-A3-3319	01A	0.187316701421947	0.125952440489578	0.0541122258181219	0.142944827584867	0.000345674895604962	0.50687051127236
TCGA-A3-3320	01A	0.148751887088238	0.137381639749908	0.157240921332974	0.0985538040593331	0.160774787254179	0.498497101998101
TCGA-A3-3322	01A	0.0277667461219528	0.119810270991916	0	0.0856145031063986	0.104702710575214	0.290206042641816
TCGA-A3-3323	01A	0.0766158693972227	0.253468976326867	0.165737633537257	0.157405121407436	0.326620144386134	0.55098880678132
TCGA-A3-3324	01A	0.125870941230794	0.113321645381624	0.253988572460188	0.13736198757218	0.0894403216357686	0.540833772683252
TCGA-A3-3325	01A	0.141776255118538	0.159696559877128	0.0370438520202529	0.108087110102586	0.154206602876003	0.450210376565042
TCGA-A3-3326	01A	0.140733552735234	0.271854334393716	0.161559302045339	0.148078353040021	0.131984647030652	0.841343463265742
TCGA-A3-3331	01A	0.170911452689273	0.166245981017957	0.2043180178708	0.132893025139387	0.211061327839601	0.618384357390634
TCGA-A3-3335	01A	0.15971914483884	0.049956126302691	0.0031340755425499	0.0570888208137664	0	0.262938300323889
TCGA-A3-3343	01A	0.139300476612976	0.121945029511115	0.226065838276034	0.144949344125427	0.168411769312568	0.589113154015566
TCGA-A3-3346	01A	0.00291382229115989	0.0862452179351017	0.0722317476125754	0.19388348680548	0.0357805420550604	0.495211054588609
TCGA-A3-3347	01A	0.125218989031281	0.350003345994942	0.13106977679096	0.283800862563018	0.43243209462502	0.776108737779413
TCGA-A3-3349	01A	0.0242442348224662	0.217970603066157	0.303243380382192	0.167124421698464	0.266471903357562	0.418646789507432
TCGA-A3-3351	01A	0.251927204777252	0.291072686634621	0.417050430709562	0.249233021108979	0.340545764424153	1.01208622824785
TCGA-A3-3352	01A	0.0987711596650437	0.127913228395676	0.215312169983873	0.119145638988957	0.0946587297625536	0.418929782459634
TCGA-A3-3357	01A	0.250226286586316	0.0425938529156515	0.185203743687143	0.0921521239711042	0.160112806811917	0.477040147777829
TCGA-A3-3358	11	0.00883996776595606	0.00322384530863742	0	0.00111257424300485	0	0.0560472209789489
TCGA-A3-3358	01A	0.0741166275516658	0.111566648696588	0.250828248224629	0.162288391085473	0.239518279035387	0.418314769740719
TCGA-A3-3359	01A	0.0746891451510866	0.205305917332809	0.314252716207072	0.1919304586366	0.25879023948009	0.529544649632243
TCGA-A3-3362	01A	0.0903621737937869	0.145163489045153	0.0920371917896464	0.0877014070465913	0.0667749624434335	0.399386119662324
TCGA-A3-3363	01A	0.150281433833551	0.0703325288863858	0.0298521420272942	0.0954394924749235	0.211974107484416	0.331745437959505
TCGA-A3-3365	01A	0.0963395430947453	0.143372638205816	0.380491713850795	0.144963653482625	0.175504523187477	0.448670267243347
TCGA-A3-3367	01A	0.0474042603040737	0.132949342285189	0.0696810657091402	0.113528136898658	0.141603852406211	0.354822374857987
TCGA-A3-3370	01A	0.158669781515629	0.20871761828739	0.415228868970573	0.159154278860659	0.219443825105172	0.745385095188613
TCGA-A3-3372	01A	0.0719936428775533	0.192505168966786	0.239225145120823	0.193729614147667	0.157965082178068	0.466321773419518
TCGA-A3-3373	01A	0.143576806972607	0.072842247237072	0.094738578433625	0.0861067322008475	0.122313044682825	0.52004301524138
TCGA-A3-3374	01A	0.0230698119538846	0.0469779711757321	0.0420690485944736	0.0681069699503754	0.109723661444907	0.469516097184575
TCGA-A3-3376	01A	0.0186096094965404	0.353446608425399	0.29774400320936	0.235281198817867	0.426623726901046	0.580868366450891
TCGA-A3-3378	01A	0.153628095090689	0.245465908663338	0.210636993865352	0.416053932098823	0.535666454346039	0.606210735541694
TCGA-A3-3380	01A	0.0191704090328751	0.124917496214571	0.200248207679987	0.0949175637897878	0.142645612347052	0.323545080547335
TCGA-A3-3382	01A	0.058586218143553	0.122132938016765	0.23315133272351	0.158452429885839	0.162023861742072	0.378049851764065
TCGA-A3-3383	01A	0.0272677895502957	0.16022415048224	0.131816652765654	0.0804345780821496	0.0794111571851129	0.394075066830901
TCGA-A3-3385	01A	0.0427739004186675	0.0177810436047551	0	0.0336167098059304	0	0.158919030625064
TCGA-A3-3387	11	0.00808177802549758	0	0	0	0	0.0540414823005768
TCGA-A3-3387	01A	0.0963802245494091	0.168611903178258	0.149620044329751	0.22969429903763	0.407472943133032	0.601451039998634
